emoji	name	group	subgroup
😀	grinning face	Smileys & Emotion	face-smiling
😃	grinning face with big eyes	Smileys & Emotion	face-smiling
😄	grinning face with smiling eyes	Smileys & Emotion	face-smiling
😁	beaming face with smiling eyes	Smileys & Emotion	face-smiling
😆	grinning squinting face	Smileys & Emotion	face-smiling
😅	grinning face with sweat	Smileys & Emotion	face-smiling
🤣	rolling on the floor laughing	Smileys & Emotion	face-smiling
😂	face with tears of joy	Smileys & Emotion	face-smiling
🙂	slightly smiling face	Smileys & Emotion	face-smiling
🙃	upside-down face	Smileys & Emotion	face-smiling
🫠	melting face	Smileys & Emotion	face-smiling
😉	winking face	Smileys & Emotion	face-smiling
😊	smiling face with smiling eyes	Smileys & Emotion	face-smiling
😇	smiling face with halo	Smileys & Emotion	face-smiling
🥰	smiling face with hearts	Smileys & Emotion	face-affection
😍	smiling face with heart-eyes	Smileys & Emotion	face-affection
🤩	star-struck	Smileys & Emotion	face-affection
😘	face blowing a kiss	Smileys & Emotion	face-affection
😗	kissing face	Smileys & Emotion	face-affection
☺️	smiling face	Smileys & Emotion	face-affection
😚	kissing face with closed eyes	Smileys & Emotion	face-affection
😙	kissing face with smiling eyes	Smileys & Emotion	face-affection
🥲	smiling face with tear	Smileys & Emotion	face-affection
😋	face savoring food	Smileys & Emotion	face-tongue
😛	face with tongue	Smileys & Emotion	face-tongue
😜	winking face with tongue	Smileys & Emotion	face-tongue
🤪	zany face	Smileys & Emotion	face-tongue
😝	squinting face with tongue	Smileys & Emotion	face-tongue
🤑	money-mouth face	Smileys & Emotion	face-tongue
🤗	smiling face with open hands	Smileys & Emotion	face-hand
🤭	face with hand over mouth	Smileys & Emotion	face-hand
🫢	face with open eyes and hand over mouth	Smileys & Emotion	face-hand
🫣	face with peeking eye	Smileys & Emotion	face-hand
🤫	shushing face	Smileys & Emotion	face-hand
🤔	thinking face	Smileys & Emotion	face-hand
🫡	saluting face	Smileys & Emotion	face-hand
🤐	zipper-mouth face	Smileys & Emotion	face-neutral-skeptical
🤨	face with raised eyebrow	Smileys & Emotion	face-neutral-skeptical
😐	neutral face	Smileys & Emotion	face-neutral-skeptical
😑	expressionless face	Smileys & Emotion	face-neutral-skeptical
😶	face without mouth	Smileys & Emotion	face-neutral-skeptical
🫥	dotted line face	Smileys & Emotion	face-neutral-skeptical
😶‍🌫️	face in clouds	Smileys & Emotion	face-neutral-skeptical
😏	smirking face	Smileys & Emotion	face-neutral-skeptical
😒	unamused face	Smileys & Emotion	face-neutral-skeptical
🙄	face with rolling eyes	Smileys & Emotion	face-neutral-skeptical
😬	grimacing face	Smileys & Emotion	face-neutral-skeptical
😮‍💨	face exhaling	Smileys & Emotion	face-neutral-skeptical
🤥	lying face	Smileys & Emotion	face-neutral-skeptical
🫨	shaking face	Smileys & Emotion	face-neutral-skeptical
🙂‍↔️	head shaking horizontally	Smileys & Emotion	face-neutral-skeptical
🙂‍↕️	head shaking vertically	Smileys & Emotion	face-neutral-skeptical
😌	relieved face	Smileys & Emotion	face-sleepy
😔	pensive face	Smileys & Emotion	face-sleepy
😪	sleepy face	Smileys & Emotion	face-sleepy
🤤	drooling face	Smileys & Emotion	face-sleepy
😴	sleeping face	Smileys & Emotion	face-sleepy
🫩	face with bags under eyes	Smileys & Emotion	face-sleepy
😷	face with medical mask	Smileys & Emotion	face-unwell
🤒	face with thermometer	Smileys & Emotion	face-unwell
🤕	face with head-bandage	Smileys & Emotion	face-unwell
🤢	nauseated face	Smileys & Emotion	face-unwell
🤮	face vomiting	Smileys & Emotion	face-unwell
🤧	sneezing face	Smileys & Emotion	face-unwell
🥵	hot face	Smileys & Emotion	face-unwell
🥶	cold face	Smileys & Emotion	face-unwell
🥴	woozy face	Smileys & Emotion	face-unwell
😵	face with crossed-out eyes	Smileys & Emotion	face-unwell
😵‍💫	face with spiral eyes	Smileys & Emotion	face-unwell
🤯	exploding head	Smileys & Emotion	face-unwell
🤠	cowboy hat face	Smileys & Emotion	face-hat
🥳	partying face	Smileys & Emotion	face-hat
🥸	disguised face	Smileys & Emotion	face-hat
😎	smiling face with sunglasses	Smileys & Emotion	face-glasses
🤓	nerd face	Smileys & Emotion	face-glasses
🧐	face with monocle	Smileys & Emotion	face-glasses
😕	confused face	Smileys & Emotion	face-concerned
🫤	face with diagonal mouth	Smileys & Emotion	face-concerned
😟	worried face	Smileys & Emotion	face-concerned
🙁	slightly frowning face	Smileys & Emotion	face-concerned
☹️	frowning face	Smileys & Emotion	face-concerned
😮	face with open mouth	Smileys & Emotion	face-concerned
😯	hushed face	Smileys & Emotion	face-concerned
😲	astonished face	Smileys & Emotion	face-concerned
😳	flushed face	Smileys & Emotion	face-concerned
🫪	distorted face	Smileys & Emotion	face-concerned
🥺	pleading face	Smileys & Emotion	face-concerned
🥹	face holding back tears	Smileys & Emotion	face-concerned
😦	frowning face with open mouth	Smileys & Emotion	face-concerned
😧	anguished face	Smileys & Emotion	face-concerned
😨	fearful face	Smileys & Emotion	face-concerned
😰	anxious face with sweat	Smileys & Emotion	face-concerned
😥	sad but relieved face	Smileys & Emotion	face-concerned
😢	crying face	Smileys & Emotion	face-concerned
😭	loudly crying face	Smileys & Emotion	face-concerned
😱	face screaming in fear	Smileys & Emotion	face-concerned
😖	confounded face	Smileys & Emotion	face-concerned
😣	persevering face	Smileys & Emotion	face-concerned
😞	disappointed face	Smileys & Emotion	face-concerned
😓	downcast face with sweat	Smileys & Emotion	face-concerned
😩	weary face	Smileys & Emotion	face-concerned
😫	tired face	Smileys & Emotion	face-concerned
🥱	yawning face	Smileys & Emotion	face-concerned
😤	face with steam from nose	Smileys & Emotion	face-negative
😡	enraged face	Smileys & Emotion	face-negative
😠	angry face	Smileys & Emotion	face-negative
🤬	face with symbols on mouth	Smileys & Emotion	face-negative
😈	smiling face with horns	Smileys & Emotion	face-negative
👿	angry face with horns	Smileys & Emotion	face-negative
💀	skull	Smileys & Emotion	face-negative
☠️	skull and crossbones	Smileys & Emotion	face-negative
💩	pile of poo	Smileys & Emotion	face-costume
🤡	clown face	Smileys & Emotion	face-costume
👹	ogre	Smileys & Emotion	face-costume
👺	goblin	Smileys & Emotion	face-costume
👻	ghost	Smileys & Emotion	face-costume
👽	alien	Smileys & Emotion	face-costume
👾	alien monster	Smileys & Emotion	face-costume
🤖	robot	Smileys & Emotion	face-costume
😺	grinning cat	Smileys & Emotion	cat-face
😸	grinning cat with smiling eyes	Smileys & Emotion	cat-face
😹	cat with tears of joy	Smileys & Emotion	cat-face
😻	smiling cat with heart-eyes	Smileys & Emotion	cat-face
😼	cat with wry smile	Smileys & Emotion	cat-face
😽	kissing cat	Smileys & Emotion	cat-face
🙀	weary cat	Smileys & Emotion	cat-face
😿	crying cat	Smileys & Emotion	cat-face
😾	pouting cat	Smileys & Emotion	cat-face
🙈	see-no-evil monkey	Smileys & Emotion	monkey-face
🙉	hear-no-evil monkey	Smileys & Emotion	monkey-face
🙊	speak-no-evil monkey	Smileys & Emotion	monkey-face
💌	love letter	Smileys & Emotion	heart
💘	heart with arrow	Smileys & Emotion	heart
💝	heart with ribbon	Smileys & Emotion	heart
💖	sparkling heart	Smileys & Emotion	heart
💗	growing heart	Smileys & Emotion	heart
💓	beating heart	Smileys & Emotion	heart
💞	revolving hearts	Smileys & Emotion	heart
💕	two hearts	Smileys & Emotion	heart
💟	heart decoration	Smileys & Emotion	heart
❣️	heart exclamation	Smileys & Emotion	heart
💔	broken heart	Smileys & Emotion	heart
❤️‍🔥	heart on fire	Smileys & Emotion	heart
❤️‍🩹	mending heart	Smileys & Emotion	heart
❤️	red heart	Smileys & Emotion	heart
🩷	pink heart	Smileys & Emotion	heart
🧡	orange heart	Smileys & Emotion	heart
💛	yellow heart	Smileys & Emotion	heart
💚	green heart	Smileys & Emotion	heart
💙	blue heart	Smileys & Emotion	heart
🩵	light blue heart	Smileys & Emotion	heart
💜	purple heart	Smileys & Emotion	heart
🤎	brown heart	Smileys & Emotion	heart
🖤	black heart	Smileys & Emotion	heart
🩶	grey heart	Smileys & Emotion	heart
🤍	white heart	Smileys & Emotion	heart
💋	kiss mark	Smileys & Emotion	emotion
💯	hundred points	Smileys & Emotion	emotion
💢	anger symbol	Smileys & Emotion	emotion
🫯	fight cloud	Smileys & Emotion	emotion
💥	collision	Smileys & Emotion	emotion
💫	dizzy	Smileys & Emotion	emotion
💦	sweat droplets	Smileys & Emotion	emotion
💨	dashing away	Smileys & Emotion	emotion
🕳️	hole	Smileys & Emotion	emotion
💬	speech balloon	Smileys & Emotion	emotion
👁️‍🗨️	eye in speech bubble	Smileys & Emotion	emotion
🗨️	left speech bubble	Smileys & Emotion	emotion
🗯️	right anger bubble	Smileys & Emotion	emotion
💭	thought balloon	Smileys & Emotion	emotion
💤	ZZZ	Smileys & Emotion	emotion
👋	waving hand	People & Body	hand-fingers-open
🤚	raised back of hand	People & Body	hand-fingers-open
🖐️	hand with fingers splayed	People & Body	hand-fingers-open
✋	raised hand	People & Body	hand-fingers-open
🖖	vulcan salute	People & Body	hand-fingers-open
🫱	rightwards hand	People & Body	hand-fingers-open
🫲	leftwards hand	People & Body	hand-fingers-open
🫳	palm down hand	People & Body	hand-fingers-open
🫴	palm up hand	People & Body	hand-fingers-open
🫷	leftwards pushing hand	People & Body	hand-fingers-open
🫸	rightwards pushing hand	People & Body	hand-fingers-open
👌	OK hand	People & Body	hand-fingers-partial
🤌	pinched fingers	People & Body	hand-fingers-partial
🤏	pinching hand	People & Body	hand-fingers-partial
✌️	victory hand	People & Body	hand-fingers-partial
🤞	crossed fingers	People & Body	hand-fingers-partial
🫰	hand with index finger and thumb crossed	People & Body	hand-fingers-partial
🤟	love-you gesture	People & Body	hand-fingers-partial
🤘	sign of the horns	People & Body	hand-fingers-partial
🤙	call me hand	People & Body	hand-fingers-partial
👈	backhand index pointing left	People & Body	hand-single-finger
👉	backhand index pointing right	People & Body	hand-single-finger
👆	backhand index pointing up	People & Body	hand-single-finger
🖕	middle finger	People & Body	hand-single-finger
👇	backhand index pointing down	People & Body	hand-single-finger
☝️	index pointing up	People & Body	hand-single-finger
🫵	index pointing at the viewer	People & Body	hand-single-finger
👍	thumbs up	People & Body	hand-fingers-closed
👎	thumbs down	People & Body	hand-fingers-closed
✊	raised fist	People & Body	hand-fingers-closed
👊	oncoming fist	People & Body	hand-fingers-closed
🤛	left-facing fist	People & Body	hand-fingers-closed
🤜	right-facing fist	People & Body	hand-fingers-closed
👏	clapping hands	People & Body	hands
🙌	raising hands	People & Body	hands
🫶	heart hands	People & Body	hands
👐	open hands	People & Body	hands
🤲	palms up together	People & Body	hands
🤝	handshake	People & Body	hands
🙏	folded hands	People & Body	hands
✍️	writing hand	People & Body	hand-prop
💅	nail polish	People & Body	hand-prop
🤳	selfie	People & Body	hand-prop
💪	flexed biceps	People & Body	body-parts
🦾	mechanical arm	People & Body	body-parts
🦿	mechanical leg	People & Body	body-parts
🦵	leg	People & Body	body-parts
🦶	foot	People & Body	body-parts
👂	ear	People & Body	body-parts
🦻	ear with hearing aid	People & Body	body-parts
👃	nose	People & Body	body-parts
🧠	brain	People & Body	body-parts
🫀	anatomical heart	People & Body	body-parts
🫁	lungs	People & Body	body-parts
🦷	tooth	People & Body	body-parts
🦴	bone	People & Body	body-parts
👀	eyes	People & Body	body-parts
